"Priority Mail Small Flat Rate Box Hold For Pickup","Mail Prioritas Tarif Datar Kecil Box Tunggu Pickup"
"Priority Mail Small Flat Rate Envelope","Mail Prioritas Tarif Datar Kecil Amplop"
"Priority Mail Small Flat Rate Envelope Hold For Pickup","Mail Prioritas Tarif Datar Kecil Amplop Tunggu Pickup"
"Priority Mail Window Flat Rate Envelope","Mail Prioritas Jendela Tarif Datar Amplop"
"Priority Mail Window Flat Rate Envelope Hold For Pickup","Mail Prioritas Jendela Tarif Datar Amplop Tunggu Pickup"
"Priority Overnight","Prioritas Lembur"
"Product content code is invalid","Kode konten produk tidak valid"
"Product name is missing","Nama produk hilang"
"Receiver","Penerima"
"Rectangular","Rectangular"
"Reference code is missing","Refrensi kode hilang"
"Regular","Biasa"
"Regular Pickup","Pickup Biasa"
"Request Courier","Meminta Kurir"
"Required","Dibutuhkan"
"Required for negotiated rates; 6-character UPS.","Diperlukan untuk nilai negosiasi; 6-karakter UPS."
"Residential","Perumahan"
"Residential Delivery","Kiriman Perumahan"
"Response is in the wrong format","Respon dalam format yang salah"
"Return","Kembali"
"Round","Bulatan"
"Routing barcode is missing","Rute barcode hilang"
"Same day","Hari yang Sama"
"Sample","Sampel"
"Sandbox Mode","Mode Sandbox"
"Second Day Service","Layanan Hari Kedua"
"Secure Gateway URL","Pengamanan URL Gateway"
"Secureline","Secureline"
"Sender","Pengirim"
"Sender city info is missing","Pengirim informasi kota hilang"
"Sender contact name is missing","Pengirim nama kontak hilang"
"Sender country info is missing","Pengirim info kota hilang"
"Service type does not match","Tipe layanan tidak cocok"
"Ship to Applicable Countries","Kirim ke Negara yang Berlaku"
"Ship to Specific Countries","Kirim ke Negara Tertentu"
"Shipment Contains Hazardous Materials","Pengiriman Berisi Bahan Berbahaya"
"Shipment Dutiable","Pengiriman Kena Pajak"
"Shipment Duty Payment Type","Tipe Kewajiban Pembayaran Muatan"
"Shipment Type","Tipe Muatan"
"Shipment is not available.","Muatan tidak tersedia."
"Shipment picked up","Muatan dijemput"
"Shipper Number","Nomor Pengirim"
"Shipping Accept XML URL","Pengiriman Menerima URL XML"
"Shipping Confirm XML URL","Pengiriman Mengkonfirmasi URL XML"
"Shipping Key","Kunci Pengiriman"
"Shipping Key (International)","Kunci Pengiriman (Internasional)"
"Show Method if Not Applicable","Tampilkan Metode jika Tidak dapat Diterapkan"
"Signature Required","Tanda Tagan Dibutuhkan"
"Size","Ukuran"
"Small Express Box","Ekspres Box Kecil"
"Smart Post","Pos Cerdas"
"Sort Order","Urut Pesanan"
"Specific","Tertentu"
"Sprintline","Sprintline"
"Standard Overnight","Overnight Standar"
"Standard Post","Pos Standar"
"Station","Stasiun"
"Subtotal","Subtotal"
"Subtotal With Discount","Subtotal Dengan Diskon"
"The field is applicable if the Smart Post method is selected.","Lapangan berlaku jika metode pos cerdas dipilih."
"The response is in wrong format.","Respon dalam format yang salah."
"There is no available method for selected shipping address.","Tidak ada metode yang tersedia untuk alamat pengiriman terpilih."
"There is no items in this order","Tidak ada item dalam pesanan ini"
"Third Party","Pihak Ketiga"
"Title","Judul"
"To Lower","Untuk Menurunkan"
"To Upper","Untuk Menaikan"
"Tracking XML URL","Melacak URL XML"
"UPS","UPS"
"UPS Expedited","UPS Dipercepat"
"UPS Express","UPS Ekspres"
"UPS Express Box","UPS Box Ekspres"
"UPS Express Early A.M.","UPS Ekspres A.M. Awal"
"UPS Express Plus","UPS Ekspres Plus"
"UPS Ground","Lapangan UPS"
"UPS Letter Envelope","Amplop Surat UPS"
"UPS Next Day Air","UPS Air Esok"
"UPS Next Day Air Early A.M.","UPS Air Esok A.M Awal."
"UPS Next Day Air Saver","UPS Air Saver Esok"
"UPS Saver","UPS Saver"
"UPS Second Day Air","UPS Air Hari Kedua"
"UPS Second Day Air A.M.","UPS Air A.M. HAri Kedua"
"UPS Standard","Standar UPS"
"UPS Three-Day Select","UPS Pilih Tiga Hari"
"UPS Today Dedicated Courrier","UPS Kurir Khusus Hari ini"
"UPS Today Express","UPS Ekspres Hari ini"
"UPS Today Express Saver","UPS Hari Ini Ekspres Saver"
"UPS Today Intercity","UPS Antarkota Hari ini"
"UPS Today Standard","UPS Standar Hari ini"
"UPS Tube","UPS Tube"
"UPS Type","UPS Tipe"
"UPS Worldwide 10 kilo","UPS Worldwide 10 kilo"
"UPS Worldwide 25 kilo","UPS Worldwide 25 kilo"
"UPS Worldwide Expedited","UPS Worldwide Dipercepat"
"UPS Worldwide Express","UPS Ekspres Worldwide"
"UPS Worldwide Express Plus","UPS Ekspres Plus Worldwide"
"UPS Worldwide Express PlusSM","UPS Ekspres PlusSM Worldwide"
"UPS Worldwide Saver","UPS Saver Worldwide"
"USPS","USPS"
"USPS GXG Envelopes","USPS GXG Amplop"
"Unable to retrieve tracking","Tidak dapat menerima pelacakan"
"United Parcel Service","United Parcel Service"
"United Parcel Service XML","United Parcel Service XML"
"Unknown error","KEsalahan tidak diketahui"
"Used only when ""Additional Protection Value"" is set to ""Configuration"". Can contain only numeric amount.","Hanya digunakan ketika ""Nilai Perlindungan Tambahan"" di set ke ""Konfigurasi"". Hanya bisa berisi jumlah angka."
"User ID","ID Pengguna"
"Variable","Variabel"
"Waybill barcode information is missing","Waybill informasi barcode hilang"
"Weight Unit","Berat Unit"
"Weight unit is invalid","Berat Unit tidak valid"
"Width","Lebar"
"Worldwide Expedited","Worldwide Dipercepat"
"Worldwide Express","Worldwide Ekspres"
"Worldwide Express Letter","Worldwide Surat Ekspres"
"Worldwide Express Plus","Worldwide Ekspres Plus"
"Worldwide Express Plus Letter","Worldwide Surat Ekspres Plus"
"Worldwide Express Saver","Worldwide Ekspres Saver"
"Wrong Content Type.","Tipe Konten Salah."
"Wrong Region.","Salah Daerah."
"Yes","Ya"
"Your Packaging","Kemasan Anda"
"Zero shipping charge for '%s'","Biaya pengiriman nol untuk '%s'"
"cm","cm"
"inch","inci"
